timestamp,fecha,hora,open,high,low,close,spread,fuerza_cuerpo,fuerza_mecha,score,rsi,ema,momentum,variacion,alcista,volumen_tick,spike_real,spike_anticipado,ganancia_esperada,duracion_estimada,operacion_exitosa
1751234040,06-29-25,21:54:00,16727.657,16732.494,16727.104,16732.075,5.39,4.418,0.972,0.922263451,65.47257025,16730.01303,4.418,0.000264113,1,60,1,0,0,0,0
1751234100,06-29-25,21:55:00,16732.06,16732.06,16730.943,16730.943,1.117,1.117,0,0,65.20685687,16730.18211,-1.132,-6.76545E-05,0,60,0,0,0,0,0
1751234160,06-29-25,21:56:00,16730.919,16730.919,16729.928,16729.928,0.991,0.991,0,0,65.32556587,16730.13591,-1.015,-0.000060666,0,60,0,0,0,0,0
1751234220,06-29-25,21:57:00,16729.908,16729.908,16729.008,16729.008,0.9,0.9,0,0,35.59021439,16729.93084,-0.92,-5.49913E-05,0,60,0,0,0,0,0
1751234280,06-29-25,21:58:00,16729.005,16729.005,16728.018,16728.018,0.987,0.987,0,0,35.51056521,16729.58305,-0.99,-5.91786E-05,0,60,0,0,0,0,0
1751234340,06-29-25,21:59:00,16728.013,16728.013,16726.987,16726.987,1.026,1.026,0,0,35.70195176,16729.11104,-1.031,-6.16331E-05,0,60,0,0,0,0,0
1751234400,06-29-25,22:00:00,16726.982,16726.982,16725.968,16725.968,1.014,1.014,0,0,24.92524683,16728.53958,-1.019,-6.09195E-05,0,60,0,0,0,0,0
1751234460,06-29-25,22:01:00,16725.941,16725.941,16725.025,16725.025,0.916,0.916,0,0,25.07804961,16727.90056,-0.943,-5.63794E-05,0,60,0,0,0,0,0
1751234520,06-29-25,22:02:00,16725.02,16725.02,16724.045,16724.045,0.975,0.975,0,0,25.1594533,16727.19955,-0.98,-5.85948E-05,0,60,0,0,0,0,0
1751234580,06-29-25,22:03:00,16724.043,16724.043,16723.138,16723.138,0.905,0.905,0,0,25.37039164,16726.46109,-0.907,-5.42333E-05,0,60,0,0,0,0,0
1751234640,06-29-25,22:04:00,16723.128,16723.128,16722.148,16722.148,0.98,0.98,0,0,25.46984896,16725.67689,-0.99,-5.91994E-05,0,60,0,0,0,0,0
1751234700,06-29-25,22:05:00,16722.139,16722.139,16721.124,16721.124,1.015,1.015,0,0,25.44051595,16724.84909,-1.024,-6.12362E-05,0,60,0,0,0,0,0
1751234760,06-29-25,22:06:00,16721.122,16721.122,16720.195,16720.195,0.927,0.927,0,0,25.64281154,16724.00289,-0.929,-5.55585E-05,0,60,0,0,0,0,0
1751234820,06-29-25,22:07:00,16720.16,16720.16,16719.278,16719.278,0.882,0.882,0,0,25.66366541,16723.14382,-0.917,-5.48439E-05,0,60,0,0,0,0,0
1751234880,06-29-25,22:08:00,16719.268,16719.268,16718.256,16718.256,1.012,1.012,0,0,0,16722.25513,-1.022,-0.000061127,0,60,0,0,0,0,0
1751234940,06-29-25,22:09:00,16718.255,16718.255,16717.089,16717.089,1.166,1.166,0,0,0,16721.31583,-1.167,-6.98039E-05,0,60,0,0,0,0,0
1751235000,06-29-25,22:10:00,16717.068,16717.068,16715.964,16715.964,1.104,1.104,0,0,0,16720.34277,-1.125,-6.72964E-05,0,60,0,0,0,0,0
1751235060,06-29-25,22:11:00,16715.95,16715.95,16714.968,16714.968,0.982,0.982,0,0,0,16719.36554,-0.996,-5.95838E-05,0,60,0,0,0,0,0
1751235120,06-29-25,22:12:00,16714.934,16714.934,16713.97,16713.97,0.964,0.964,0,0,0,16718.38453,-0.998,-0.000059707,0,60,0,0,0,0,0
1751235180,06-29-25,22:13:00,16713.966,16713.966,16713.027,16713.027,0.939,0.939,0,0,0,16717.41044,-0.943,-5.64199E-05,0,60,0,0,0,0,0
1751235240,06-29-25,22:14:00,16713.011,16713.011,16712.011,16712.011,1,1,0,0,0,16716.42872,-1.016,-6.07909E-05,0,60,0,0,0,0,0
1751235300,06-29-25,22:15:00,16711.983,16711.983,16710.875,16710.875,1.108,1.108,0,0,0,16715.41895,-1.136,-6.79751E-05,0,60,0,0,0,0,0
1751235360,06-29-25,22:16:00,16710.845,16710.845,16709.93,16709.93,0.915,0.915,0,0,0,16714.42096,-0.945,-0.00005655,0,60,0,0,0,0,0
1751235420,06-29-25,22:17:00,16709.895,16709.895,16708.786,16708.786,1.109,1.109,0,0,0,16713.39642,-1.144,-6.84623E-05,0,60,0,0,0,0,0
1751235480,06-29-25,22:18:00,16708.76,16708.76,16707.612,16707.612,1.148,1.148,0,0,0,16712.34471,-1.174,-7.02624E-05,0,60,0,0,0,0,0
1751235540,06-29-25,22:19:00,16707.611,16707.611,16706.565,16706.565,1.046,1.046,0,0,0,16711.29385,-1.047,-0.000062666,0,60,0,0,0,0,0
1751235600,06-29-25,22:20:00,16706.56,16706.56,16705.487,16705.487,1.073,1.073,0,0,0,16710.23806,-1.078,-6.45255E-05,0,60,0,0,0,0,0
1751235660,06-29-25,22:21:00,16705.45,16705.45,16704.424,16704.424,1.026,1.026,0,0,0,16709.18096,-1.063,-6.36318E-05,0,60,0,0,0,0,0
1751235720,06-29-25,22:22:00,16704.407,16704.407,16703.616,16703.616,0.791,0.791,0,0,0,16708.16915,-0.808,-4.83704E-05,0,60,0,0,0,0,0
1751235780,06-29-25,22:23:00,16703.613,16703.613,16702.665,16702.665,0.948,0.948,0,0,0,16707.16839,-0.951,-5.69338E-05,0,60,0,0,0,0,0
1751235840,06-29-25,22:24:00,16702.656,16702.656,16701.532,16701.532,1.124,1.124,0,0,0,16706.1436,-1.133,-6.78335E-05,0,60,0,0,0,0,0
1751235900,06-29-25,22:25:00,16701.519,16701.519,16700.531,16700.531,0.988,0.988,0,0,0,16705.12312,-1.001,-5.99346E-05,0,60,0,0,0,0,0
1751235960,06-29-25,22:26:00,16700.512,16700.512,16699.695,16699.695,0.817,0.817,0,0,0,16704.13619,-0.836,-5.00583E-05,0,60,0,0,0,0,0
1751236020,06-29-25,22:27:00,16699.693,16699.693,16698.753,16698.753,0.94,0.94,0,0,0,16703.15743,-0.942,-5.64082E-05,0,60,0,0,0,0,0
1751236080,06-29-25,22:28:00,16698.728,16698.728,16697.716,16697.716,1.012,1.012,0,0,0,16702.16808,-1.037,-6.21004E-05,0,60,0,0,0,0,0
1751236140,06-29-25,22:29:00,16697.691,16697.691,16696.718,16696.718,0.973,0.973,0,0,0,16701.17716,-0.998,-5.97687E-05,0,60,0,0,0,0,0
1751236200,06-29-25,22:30:00,16696.685,16696.685,16695.681,16695.681,1.004,1.004,0,0,0,16700.17785,-1.037,-0.000062108,0,60,0,0,0,0,0
1751236260,06-29-25,22:31:00,16695.668,16695.668,16694.664,16694.664,1.004,1.004,0,0,0,16699.17534,-1.017,-0.000060914,0,60,0,0,0,0,0
1751236320,06-29-25,22:32:00,16694.652,16694.652,16693.648,16693.648,1.004,1.004,0,0,0,16698.17037,-1.016,-6.08578E-05,0,60,0,0,0,0,0
1751236380,06-29-25,22:33:00,16693.639,16693.639,16692.615,16692.615,1.024,1.024,0,0,0,16697.1603,-1.033,-6.18798E-05,0,60,0,0,0,0,0
