epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas,futuro
1750236780.0,17373.632,17373.632,17372.618,17372.618,1.0140000000028522,-1.0210000000006405,-5.836430747484764e-05,-5.834590702361913e-05,0.0,17377.099110892606,1.0140000000028522,0.0,0.0,0.0,1.0,-3.128999999997177
1750236840.0,17372.593,17372.593,17371.595,17371.595,0.9979999999995924,-1.0229999999974098,-5.744680716342071e-05,-5.78314191682812e-05,0.0,17376.098362855595,0.9979999999995924,0.0,0.0,0.0,1.0,-3.1570000000028813
1750236900.0,17371.588,17371.588,17370.613,17370.613,0.9749999999985448,-0.9819999999999708,-5.6126129631818623e-05,-5.797281833152244e-05,0.0,17375.10116944675,0.9749999999985448,0.0,0.0,0.0,1.0,19.5099999999984
1750236960.0,17370.582,17370.582,17369.489,17369.489,1.0929999999971187,-1.1239999999997965,-6.292247433028546e-05,-5.893187759626684e-05,0.0,17374.080768568852,1.0929999999971187,0.0,0.0,0.0,1.0,19.771999999997206
1750237020.0,17369.458,17369.458,17368.438,17368.438,1.0200000000004366,-1.051000000003114,-5.8723766740472654e-05,-5.871669706816903e-05,0.0,17373.054804763076,1.0200000000004366,0.0,0.0,0.0,1.0,19.882000000001426
1750237080.0,17368.396,17390.994,17368.274,17390.123,22.71999999999753,21.68500000000131,0.0012509502892494,0.0002031462222766,61.73489722712218,17376.158106613955,21.726999999998952,0.8709999999991851,0.1219999999993888,0.992999999998574,0.0,-3.0489999999990687
1750237140.0,17390.123,17390.123,17389.261,17389.261,0.8620000000009895,-0.8620000000009895,-4.9568367055310046e-05,0.0002047219102983,62.06176125468572,17378.54050015836,0.8620000000009895,0.0,0.0,0.0,1.0,-3.2409999999981665
1750237200.0,17389.22,17389.22,17388.32,17388.32,0.9000000000014552,-0.940999999998894,-5.1756202981010943e-05,0.0002055958956284,61.84229288464243,17380.318584918423,0.9000000000014552,0.0,0.0,0.0,1.0,-3.2999999999992724
1750237260.0,17388.286,17388.286,17387.074,17387.074,1.2119999999995343,-1.245999999999185,-6.970209714744364e-05,0.000204239971065,61.87228943163593,17381.546836091646,1.2119999999995343,0.0,0.0,0.0,1.0,-3.0800000000017462
1750237320.0,17387.068,17387.068,17386.02,17386.02,1.047999999998865,-1.054000000000087,-6.027468230979858e-05,0.0002039297879511,61.75247750313303,17382.360131886406,1.047999999998865,0.0,0.0,0.0,1.0,-2.9840000000003783
1750237380.0,17386.014,17386.014,17385.02,17385.02,0.9939999999987776,-1.0,-5.717239155557896e-05,-5.769474820982848e-05,61.84052928762832,17382.84373777274,0.9939999999987776,0.0,0.0,0.0,1.0,-2.8760000000002037
1750237440.0,17385.003,17385.003,17383.994,17383.994,1.0090000000018335,-1.026000000001659,-5.8038528955205445e-05,-5.938878058980756e-05,61.81056352079312,17383.052870487158,1.0090000000018335,0.0,0.0,0.0,1.0,-3.014999999999418
1750237500.0,17383.984,17383.984,17383.036,17383.036,0.94800000000032,-0.9579999999987194,-5.453295401102073e-05,-5.994413079580952e-05,61.92706399748455,17383.04979818009,0.94800000000032,0.0,0.0,0.0,1.0,-3.1039999999993597
1750237560.0,17383.006,17383.006,17382.144,17382.144,0.8620000000009895,-0.8919999999998254,-4.9588661477824345e-05,-5.592144366188565e-05,62.1970457478856,17382.885102892204,0.8620000000009895,0.0,0.0,0.0,1.0,-3.1490000000012515
1750237620.0,17382.135,17382.135,17380.979,17380.979,1.1559999999990396,-1.1650000000008731,-6.650506396360629e-05,-5.71675199926472e-05,61.94121511611349,17382.53853240908,1.1559999999990396,0.0,0.0,0.0,1.0,-2.970000000001164
1750237680.0,17380.965,17380.965,17379.932,17379.932,1.032999999999447,-1.0469999999986612,-5.943283356243149e-05,-5.7619608394017706e-05,61.89878114920047,17382.06461148833,1.032999999999447,0.0,0.0,0.0,1.0,-2.9030000000020664
1750237740.0,17379.903,17379.903,17378.995,17378.995,0.907999999999447,-0.9370000000017172,-5.224425015487411e-05,-5.646075263395144e-05,61.97839259174093,17381.50649378707,0.907999999999447,0.0,0.0,0.0,1.0,12.830000000001746
1750237800.0,17378.97,17378.97,17378.009,17378.009,0.9610000000029686,-0.9860000000007858,-5.5296717814862936e-05,-5.661350539471988e-05,62.223816355803976,17380.870579841292,0.9610000000029686,0.0,0.0,0.0,1.0,28.52900000000227
1750237860.0,17378.009,17378.009,17377.029,17377.029,0.9799999999995634,-0.9799999999995634,-5.639311154687304e-05,-5.797439540852962e-05,62.35084390005432,17380.172103950776,0.9799999999995634,0.0,0.0,0.0,1.0,28.412000000000262
1750237920.0,17377.015,17392.249,17376.357,17391.825,15.891999999999824,14.796000000002095,0.000852275261315,0.0001257816696472,53.05127285765678,17382.290806344772,14.81000000000131,0.4239999999990687,0.657999999999447,1.0819999999985157,0.0,12.364999999997963
1750237980.0,17391.774,17407.037,17391.322,17406.538,15.715000000000146,14.712999999999738,0.0008489070752643,0.0003074496514125,70.6954792649926,17386.699380210404,14.763999999999214,0.4989999999997963,0.452000000001135,0.9510000000009312,0.0,-3.415000000000873
1750238040.0,17406.537,17406.537,17405.441,17405.441,1.096000000001368,-1.0970000000015716,-6.296485050423113e-05,0.0003053055313427,70.4322505191271,17390.106941572514,1.096000000001368,0.0,0.0,0.0,1.0,-3.305000000000291
1750238100.0,17405.428,17405.428,17404.19,17404.19,1.2380000000011933,-1.2510000000002035,-7.112723685974244e-05,0.0003021394275337,70.42384611712558,17392.667492403478,1.2380000000011933,0.0,0.0,0.0,1.0,-3.1039999999993597
