epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750149480,17601.95,17601.95,17600.922,17600.922,1.028,-1.035,-5.84026E-05,-5.53514E-05,0,17605.48722,1.028,0,0,0,1
1750149540,17600.903,17600.903,17599.862,17599.862,1.041,-1.06,-5.91447E-05,-5.61954E-05,0,17604.46444,1.041,0,0,0,1
1750149600,17599.846,17599.846,17598.915,17598.915,0.931,-0.947,-5.28982E-05,-5.66528E-05,0,17603.45545,0.931,0,0,0,1
1750149660,17598.891,17598.891,17597.977,17597.977,0.914,-0.938,-5.19351E-05,-5.58606E-05,0,17602.45936,0.914,0,0,0,1
1750149720,17597.97,17597.97,17597.002,17597.002,0.968,-0.975,-5.50063E-05,-5.54774E-05,0,17601.4671,0.968,0,0,0,1
1750149780,17597.002,17597.002,17595.901,17595.901,1.101,-1.101,-6.25675E-05,-5.63104E-05,0,17600.45508,1.101,0,0,0,1
1750149840,17595.858,17595.858,17594.84,17594.84,1.018,-1.061,-5.78545E-05,-5.60523E-05,0,17599.43415,1.018,0,0,0,1
1750149900,17594.821,17594.821,17593.621,17593.621,1.2,-1.219,-6.82019E-05,-5.91131E-05,0,17598.37721,1.2,0,0,0,1
1750149960,17593.597,17593.597,17592.611,17592.611,0.986,-1.01,-5.60431E-05,-5.99347E-05,0,17597.3288,0.986,0,0,0,1
1750150020,17592.585,17592.585,17591.67,17591.67,0.915,-0.941,-5.20105E-05,-5.93355E-05,0,17596.29992,0.915,0,0,0,1
1750150080,17591.664,17591.664,17590.591,17590.591,1.073,-1.079,-6.09948E-05,-0.000059021,0,17595.26193,1.073,0,0,0,1
1750150140,17590.575,17590.575,17589.3,17589.3,1.275,-1.291,-0.000072482,-6.19465E-05,0,17594.17794,1.275,0,0,0,1
1750150200,17589.299,17589.299,17588.273,17588.273,1.026,-1.027,-5.83309E-05,-5.99723E-05,0,17593.10431,1.026,0,0,0,1
