open,high,low,close,spread,momentum,ema,rsi
18250.684,18250.684,18249.756,18249.756,0.9279999999998836,-5.260067605017405e-05,18256.6711368181,2.3332657822409373
18249.725,18249.725,18248.648,18248.648,1.076999999997497,-6.071314049349574e-05,18255.60138524236,2.164715013375051
18248.635,18248.635,18247.55,18247.55,1.0849999999991269,-6.0168841001351225e-05,18254.52786721004,2.00977578186475
18247.544,18247.544,18246.42,18246.42,1.1240000000034345,-6.192612158895106e-05,18253.4468182487,1.8620637095264816
18246.411,18246.411,18245.453,18245.453,0.9579999999987194,-5.299669743419333e-05,18252.38097581554,1.7439411313884368
18245.442,18245.442,18244.328,18244.328,1.113999999997759,-6.16591980479031e-05,18251.3072457068,1.6155405538228098
18244.308,18244.308,18243.113,18243.113,1.194999999999709,-6.659604015013532e-05,18250.21467961256,1.4881086324292498
18243.074,18243.074,18241.915,18241.915,1.1589999999996508,-6.566861697343551e-05,18249.10805566422,1.3731006552402691
18241.898,18241.898,18240.637,18240.637,1.261000000002241,-7.005843410634593e-05,18247.97858157565,1.2611281801216487
18240.625,18240.625,18239.544,18239.544,1.080999999998312,-5.992115297270839e-05,18246.8539706989,1.173025268186128
18239.507,18239.507,18238.391,18238.391,1.1160000000018044,-6.32142996558338e-05,18245.72557460572,1.0867742554462434
18238.377,18238.377,18237.236,18237.236,1.1409999999996217,-6.33279547520571e-05,18244.59363132495,1.006904479005317
18237.228,18237.228,18236.029,18236.029,1.199000000000524,-6.618327470253593e-05,18243.451680481623,0.9299861931800176
18236.001,18236.001,18234.964,18234.964,1.037000000000262,-5.8400872251174185e-05,18242.31998975074,0.8670483762676459
18234.951,18234.951,18233.868,18233.868,1.0830000000023574,-6.010431388847604e-05,18241.19305778397,0.8065540972302755
18233.847,18233.847,18232.832,18232.832,1.015000000003056,-5.681734670892613e-05,18240.078250079445,0.7530682133388317
18232.82,18232.82,18231.742,18231.742,1.0780000000013388,-5.978226531133668e-05,18238.96675006885,0.7004389388905021
18231.718,18231.718,18230.647,18230.647,1.070999999999913,-6.00600864140155e-05,18237.85745005968,0.6512030485416828
18230.614,18230.614,18229.584,18229.584,1.0300000000024738,-5.830840781473334e-05,18236.75432338505,0.6066236044670598
18229.583,18229.583,18228.371,18228.371,1.2119999999995343,-6.654019093355057e-05,18235.636546933707,0.5595508109062968
18228.345,18228.345,18227.402,18227.402,0.9430000000029396,-5.3158891707982825e-05,18234.538607342547,0.5245343491896021
18227.39,18227.39,18226.326,18226.326,1.0639999999984866,-5.903200028167799e-05,18233.44359303021,0.4880137443217431
18226.313,18226.313,18225.215,18225.215,1.0979999999981374,-6.0955784506488975e-05,18232.346447292846,0.4529468171201645
18225.201,18225.201,18224.124,18224.124,1.077000000001135,-5.986211959640997e-05,18231.250120987133,0.420957889134556
18224.106,18224.106,18223.16,18223.16,0.9459999999999128,-5.289691839238664e-05,18230.17143818885,0.3944496422219077
18223.155,18223.155,18222.162,18222.162,0.992999999998574,-5.4765474264639735e-05,18229.103513097,0.3685732148268451
18222.14,18222.14,18221.167,18221.167,0.9729999999981374,-5.460383899558163e-05,18228.045311350736,0.3443208916770651
18221.156,18221.156,18220.088,18220.088,1.0679999999993015,-5.92168437949514e-05,18226.98433650397,0.3197498813246502
18220.07,18220.07,18218.922,18218.922,1.1480000000010475,-6.399530013256882e-05,18225.90935830344,0.2952318999339486
18218.896,18218.896,18217.819,18217.819,1.077000000001135,-6.054145245248943e-05,18224.83064386298,0.273840754188582
18217.795,18217.795,18216.782,18216.782,1.0129999999990105,-5.6922291301719774e-05,18223.757491347915,0.2551248242328995
18216.761,18216.761,18215.551,18215.551,1.2099999999991269,-6.75750524983254e-05,18222.66329250153,0.2346249367477438
18215.543,18215.543,18214.4,18214.4,1.143000000000029,-6.318776741909282e-05,18221.56152016799,0.2170624722962256
18214.388,18214.388,18213.297,18213.297,1.0910000000003492,-6.055648278302517e-05,18220.459584145592,0.2014969187026966
18213.283,18213.283,18212.106,18212.106,1.17699999999968,-6.53917849140484e-05,18219.34577292618,0.1859878627725444
18212.102,18212.102,18211.096,18211.096,1.0059999999975844,-5.545761703773522e-05,18218.245803202688,0.1737728697866423
18211.076,18211.076,18209.997,18209.997,1.0790000000015425,-6.034782310748721e-05,18217.145962775663,0.1613548686779555
18209.993,18209.993,18209.029,18209.029,0.9639999999999418,-5.315761446866851e-05,18216.06370107224,0.1511117919736603
18208.978,18208.978,18207.849,18207.849,1.129000000000815,-6.480301613009942e-05,18214.96840759594,0.1394872908588469
18207.843,18207.843,18206.824,18206.824,1.0190000000002328,-5.629440358378979e-05,18213.88248658315,0.130123368450735
18206.805,18206.805,18205.845,18205.845,0.9599999999991268,-5.377104760273532e-05,18212.8108217054,0.1217186385230215
18205.832,18205.832,18204.808,18204.808,1.0239999999976137,-5.69597291419921e-05,18211.743778811346,0.1133658504285122
18204.799,18218.265,18204.121,18217.852,14.144000000000233,0.0007165140110236,18212.55820830316,48.234250417223656
18217.818,18217.818,18216.669,18216.669,1.1489999999976137,-6.49363053337737e-05,18213.10631386274,46.066686865759934
18216.652,18216.652,18215.55,18215.55,1.1019999999989525,-6.142725654190162e-05,18213.43213868104,44.050205247896265
18215.541,18215.541,18214.489,18214.489,1.05199999999968,-5.824693736933284e-05,18213.573053523567,42.16553703650408
18214.48,18214.48,18213.397,18213.397,1.0829999999987194,-5.9952272062124834e-05,18213.549579720424,40.25649762289545
18213.386,18213.386,18212.354,18212.354,1.0319999999992433,-5.726553920726296e-05,18213.390169091035,38.46518479705766
18212.339,18212.339,18211.14,18211.14,1.199000000000524,-6.66580498051017e-05,18213.090146545564,36.4330609622105
18211.106,18211.106,18210.153,18210.153,0.9530000000013388,-5.419759553770831e-05,18212.69852700616,34.82232888093507
18210.131,18230.639,18209.838,18229.861,20.80099999999948,0.0010822534000676,18214.98685673867,66.5873314608143
18229.855,18229.855,18228.764,18228.764,1.0910000000003492,-6.017599366237025e-05,18216.823809173515,64.69723260972184
18228.733,18228.733,18227.788,18227.788,0.944999999999709,-5.354175411997897e-05,18218.285701283712,62.984250809132405
18227.787,18227.787,18226.745,18226.745,1.0420000000012806,-5.722032755706152e-05,18219.413607779217,61.12181022474096
18226.745,18226.745,18225.693,18225.693,1.05199999999968,-5.771738179249919e-05,18220.25086007532,59.21971232064773
18225.669,18225.669,18224.562,18224.562,1.106999999999971,-6.205525353675245e-05,18220.825678731944,57.16021120198573
18224.544,18224.544,18223.445,18223.445,1.099000000001979,-6.129091058548752e-05,18221.174921567686,55.12133562930123
18223.432,18223.432,18222.375,18222.375,1.0570000000006985,-5.871557216541312e-05,18221.33493202533,53.1650232895642
18222.348,18222.348,18221.282,18221.282,1.066000000002532,-5.9981204425962886e-05,18221.32787442196,51.16731461958569
18221.255,18221.255,18220.186,18220.186,1.0689999999995052,-6.014944502796826e-05,18221.175624499025,49.17205426290649
18220.165,18220.165,18219.167,18219.167,0.9979999999995924,-5.592698120648887e-05,18220.907807899155,47.32431945769087
18219.153,18219.153,18218.114,18218.114,1.0389999999970314,-5.779627575730473e-05,18220.53530017927,45.424760388552
18218.09,18239.691,18217.167,18239.458,22.523999999997613,0.0011715812075825,18223.05832682204,70.91173755962707
18239.449,18239.449,18238.507,18238.507,0.9419999999990978,-5.213970722139916e-05,18225.11814991243,69.35754166196291
18238.499,18238.499,18237.52,18237.52,0.9789999999993596,-5.411627168827593e-05,18226.771729924105,67.69913113730071
18237.479,18237.479,18236.38,18236.38,1.098999999998341,-6.25084989624991e-05,18228.05283260089,65.74377716599481
18236.369,18236.369,18235.436,18235.436,0.9329999999972642,-5.176465943346198e-05,18229.03725492077,64.09293972236446
18235.416,18235.416,18234.335,18234.335,1.08100000000195,-6.037694958338502e-05,18229.74362093133,62.133309390986845
18234.319,18234.319,18233.357,18233.357,0.9619999999995344,-5.363507909661447e-05,18230.225404807155,60.36765978931374
18233.334,18233.334,18232.201,18232.201,1.1329999999979918,-6.34002833377334e-05,18230.488817499536,58.26021699193122
18232.171,18232.171,18231.023,18231.023,1.1479999999974098,-6.461095947762896e-05,18230.56004183293,56.110564623074666
18230.991,18230.991,18229.846,18229.846,1.1450000000004366,-6.456028276635717e-05,18230.464836255207,53.967931738379406
18229.816,18229.816,18228.85,18228.85,0.9660000000003492,-5.4635678217063166e-05,18230.249524754512,52.15304165176246
18228.82,18253.069,18227.767,18253.063,25.30199999999968,0.0013282790741051,18233.29132145391,74.55513635293013
18253.041,18253.041,18252.053,18252.053,0.9880000000011931,-5.533317887518319e-05,18235.79287859339,73.01935378285681
18252.024,18252.024,18251.053,18251.053,0.971000000001368,-5.478835723304876e-05,18237.827561447604,71.45001113914142
18251.039,18261.598,18249.912,18261.401,11.686000000001512,0.000566980984604,18240.970686587923,76.96668532261124
18261.383,18261.383,18260.319,18260.319,1.0640000000021246,-5.925065661727125e-05,18243.55046170953,75.32767577423888
18260.313,18260.313,18259.4,18259.4,0.9129999999968276,-5.032770785651231e-05,18245.6637334816,73.88845239750101
18259.396,18259.396,18258.31,18258.31,1.0859999999993306,-5.969528023919146e-05,18247.34990235072,72.12820214996503
18258.301,18279.324,18257.847,18278.761,21.476999999998952,0.0011200927139476,18251.53804870395,81.18500177762455
18278.751,18278.751,18277.734,18277.734,1.0169999999998254,-5.618542744767474e-05,18255.03084221009,79.78296144543346
18277.726,18277.726,18276.615,18276.615,1.1109999999971478,-6.122203113356761e-05,18257.908729915413,78.19833630349935
18276.591,18276.591,18275.68,18275.68,0.9110000000000582,-5.1158269734341566e-05,18260.27823259336,76.82528496127455
18275.645,18275.645,18274.655,18274.655,0.9900000000016008,-5.608546439861417e-05,18262.195134914244,75.2650867767666
18274.592,18274.592,18273.497,18273.497,1.0950000000011642,-6.336644932558588e-05,18263.70205025901,73.45024725696602
18273.462,18301.601,18273.209,18300.756,28.391999999999825,0.0014917232317384,18268.642576891143,83.52243393458579
18300.755,18320.423,18300.361,18319.738,20.06199999999808,0.0010372249102714,18275.455299972324,87.17198521328339
18319.703,18319.703,18318.498,18318.498,1.2050000000017462,-6.768655752620312e-05,18281.19432664268,85.8345494264394
18318.472,18318.472,18317.311,18317.311,1.1610000000000582,-6.479788899715899e-05,18286.009883090323,84.49808747309956
18317.296,18317.296,18316.277,18316.277,1.0190000000002328,-5.6449333638686205e-05,18290.04549867828,83.28162652973235
18316.269,18316.269,18315.118,18315.118,1.151000000001659,-6.327705133524208e-05,18293.388498854507,81.85908241513113
18315.115,18315.115,18314.152,18314.152,0.963000000003376,-5.274331292870471e-05,18296.156965673905,80.62298193400483
